Symbol	Estimate	Std. Error	t value	Pr(>|t|)
RP11-299H22.1	6.91E-06	1.94E-05	0.356241292	0.721721822
NA	6.54E-05	3.20E-05	2.045986593	0.040972957
NA	2.67E-06	6.21E-06	0.430370476	0.66700262
NA	2.75E-06	3.36E-06	0.819700418	0.412547942
NA	-1.81E-05	1.96E-05	-0.926525795	0.354357102
NA	2.69E-06	4.25E-06	0.632678087	0.527063126
TNP1	1.50E-06	2.26E-06	0.663811768	0.506936938
PLPP7	-9.92E-07	1.24E-07	-8.031274212	2.27E-15
CRYBG2	2.90E-06	4.41E-07	6.570978309	7.40E-11
NA	4.50E-06	3.13E-06	1.439409358	0.150292576
NA	3.03E-06	8.46E-07	3.582790126	0.000353414
PCDHGB3	-3.71E-06	1.20E-06	-3.079992461	0.002116609
NA	8.50E-07	9.94E-07	0.854559975	0.392963534
NA	7.61E-06	3.24E-05	0.234382653	0.814727479
NA	-2.46E-05	1.96E-06	-12.54484629	4.97E-34
NA	1.39E-05	7.82E-06	1.777112782	0.075800224
SNORD97	0	1.453387714	0	1
NA	-5.88E-06	3.15E-06	-1.863465291	0.062638331
NA	6.97E-07	2.05E-06	0.339780159	0.734080914
NA	-6.97E-07	9.66E-07	-0.721520446	0.470728414
NA	5.94E-06	9.51E-06	0.624918394	0.532142152
NA	0	1.453387714	0	1
NA	-7.00E-06	5.50E-06	-1.27238845	0.203478984
NA	-7.42E-07	3.71E-06	-0.200089124	0.841444418
NA	3.19E-06	3.33E-06	0.958137222	0.338184495
NA	-8.56E-06	1.78E-05	-0.480100734	0.631242328
NA	1.25E-06	5.19E-07	2.410479734	0.016079563
SUN2	-3.29E-07	2.40E-08	-13.72629099	5.79E-40
NA	-1.84E-07	5.07E-06	-0.036299085	0.971049852
SLC35A2	5.12E-07	3.88E-08	13.18022163	3.58E-37
NA	-2.51E-07	4.50E-07	-0.558197937	0.576812241
PDE6B	1.29E-06	2.37E-07	5.449280292	6.12E-08
AC002076.10	1.86E-06	1.38E-06	1.344778177	0.178948269
NA	1.79E-06	1.02E-06	1.755485137	0.079428757
CBX6	-3.05E-07	6.30E-08	-4.842820476	1.45E-06
MIR4673	1.46E-06	3.43E-06	0.426434015	0.669867284
NA	2.47E-05	2.47E-05	0.999452165	0.317775032
CLCNKA	-1.27E-06	1.19E-06	-1.068332243	0.285583228
NA	1.39E-06	1.37E-06	1.019181589	0.308319993
NA	3.97E-06	1.59E-06	2.50559987	0.012354575
ZNF33B	-1.30E-06	1.42E-07	-9.129686271	2.79E-19
NA	-6.35E-07	2.93E-06	-0.216603221	0.828553997
FRG1	-1.22E-07	5.06E-08	-2.405629025	0.016293578
NA	0.000112221	0.000248004	0.452494892	0.650993413
NA	3.98E-07	2.55E-07	1.560769001	0.118839109
NA	-1.06E-06	2.65E-07	-3.98684499	7.10E-05
NA	-2.98E-06	3.59E-07	-8.299885058	2.75E-16
XIST	-6.64E-08	2.34E-08	-2.838072886	0.0046143
NA	1.40E-06	9.87E-07	1.414720367	0.157407143
RP11-594N15.2	5.01E-07	2.50E-06	0.20068644	0.840977406
NA	-3.39E-07	1.31E-05	-0.025876244	0.979360304
NA	-2.09E-06	1.51E-06	-1.381776071	0.167294892
FHAD1	1.17E-05	1.73E-06	6.747172419	2.33E-11
HIST1H2AG	4.98E-07	1.03E-07	4.822200369	1.60E-06
NA	-6.44E-05	6.02E-06	-10.69113396	1.48E-25
NA	2.75E-08	1.10E-08	2.512791007	0.012106894
MYC	-1.04E-07	9.93E-09	-10.45505888	1.48E-24
OR7C2	-2.09E-05	4.39E-05	-0.475656692	0.634404625
NA	-8.03E-07	2.71E-07	-2.963880023	0.00309717
MAP3K11	4.01E-07	1.13E-07	3.541986984	0.000412192
KRT80	1.22E-07	4.01E-08	3.04832527	0.002351019
NA	-9.99E-05	5.70E-06	-17.51903717	1.97E-61
NA	-1.43E-05	1.83E-06	-7.861635365	8.32E-15
NA	3.03E-05	3.39E-05	0.893660914	0.371680612
NA	-1.52E-06	3.74E-06	-0.406581769	0.684386913
NA	2.73E-06	7.64E-06	0.356864076	0.721255634
NA	-1.94E-06	8.18E-06	-0.237823073	0.812058486
NA	-1.15E-05	7.32E-06	-1.571646703	0.116293297
NA	0	1.453387714	0	1
NA	5.94E-06	7.07E-06	0.839991677	0.401078582
RCC2	1.67E-07	1.35E-08	12.35115937	4.27E-33
NA	2.72E-07	6.75E-07	0.402596454	0.687316057
NA	1.07E-06	1.33E-06	0.807565691	0.419498972
NA	4.17E-06	6.68E-06	0.62409695	0.532681268
NA	-4.84E-06	3.02E-06	-1.604798134	0.10879854
NA	1.15E-05	1.16E-05	0.993145544	0.320837101
NA	7.02E-07	3.09E-06	0.227302009	0.820227214
NA	-1.09E-05	2.60E-06	-4.18684785	3.03E-05
NA	3.28E-07	8.75E-06	0.037507153	0.970086808
NA	3.38E-07	1.23E-07	2.737101669	0.006288876
NA	6.84E-06	1.66E-05	0.41149461	0.680782587
TRAPPC6B	-4.88E-07	1.53E-07	-3.185017941	0.001484307
GAR1	2.79E-07	6.68E-08	4.180695699	3.11E-05
LAMA4	-6.27E-07	3.23E-08	-19.38161203	4.08E-73
NA	-1.52E-05	1.06E-06	-14.42939237	1.12E-43
NA	-5.51E-06	4.76E-06	-1.157601018	0.247254781
NA	-5.16E-07	1.13E-07	-4.579657234	5.14E-06
NA	6.25E-06	1.73E-05	0.360747753	0.718350836
NA	4.41E-07	2.44E-06	0.180681259	0.856647952
DHTKD1	2.64E-07	3.42E-08	7.718280577	2.45E-14
CD3D	1.16E-07	3.28E-08	3.5330812	0.000426182
NA	-8.56E-06	3.28E-06	-2.606926523	0.00924794
NA	1.03E-06	9.42E-07	1.091203349	0.275400113
ZNF443	1.32E-06	2.33E-07	5.649479206	2.00E-08
NCRNA00168	9.90E-08	1.08E-07	0.920533603	0.357477012
NA	-9.83E-05	2.69E-05	-3.651477031	0.000271843
NA	4.58E-05	5.65E-05	0.810879566	0.417593903
PSMG2	1.06E-07	6.12E-08	1.735903392	0.082834847
NA	4.81E-06	1.74E-05	0.27594014	0.782641046
CYP27C1	5.70E-07	4.50E-07	1.267746167	0.205131907
NA	-1.94E-06	3.73E-05	-0.052035656	0.95850885
NA	3.20E-06	1.65E-06	1.936864776	0.052993854
RP11-304L19.1	4.14E-07	4.93E-07	0.839703564	0.40124008
NA	2.28E-05	2.84E-05	0.801499082	0.42299975
NA	-0.000121949	5.25E-06	-23.21138101	6.43E-99
RP11-513G11.4	1.05E-06	2.61E-07	4.024796663	6.06E-05
NA	-2.80E-06	7.05E-07	-3.978009139	7.36E-05
NA	-3.27E-05	5.67E-06	-5.774863757	9.78E-09
NA	3.53E-07	3.12E-07	1.129985632	0.25870567
ZNF784	2.07E-07	1.76E-07	1.174954567	0.240243483
NA	4.25E-06	5.42E-06	0.783488102	0.433493486
NA	3.40E-06	9.04E-06	0.3766713	0.706483773
NA	1.18E-05	2.03E-06	5.786540781	9.14E-09
SPATS2	2.05E-06	1.58E-07	13.03909542	1.83E-36
TDRP	-7.99E-07	1.13E-07	-7.091505697	2.25E-12
NA	1.11E-06	2.32E-06	0.476757833	0.633620448
AC087393.1	-5.36E-07	8.82E-07	-0.607800661	0.543433463
TRIM9	-3.94E-07	3.04E-07	-1.297582769	0.194677454
NA	5.76E-07	5.56E-06	0.103525001	0.917563421
NA	3.15E-06	5.03E-06	0.625936809	0.531474147
NA	1.26E-06	1.17E-06	1.079055379	0.280777558
NA	-1.43E-05	7.73E-06	-1.846787783	0.065021341
NA	2.20E-07	1.90E-07	1.16157421	0.245636977
RFTN1	-5.15E-07	4.86E-08	-10.60568359	3.42E-25
NA	3.52E-07	2.10E-07	1.675101574	0.094172052
RP11-331K15.1	8.49E-06	1.73E-05	0.491554436	0.623123293
NA	-1.38E-06	4.70E-07	-2.940368331	0.003340376
NA	-1.64E-05	9.34E-06	-1.752605588	0.079922362
NA	2.41E-06	2.93E-06	0.820952301	0.411834747
NA	-8.03E-06	1.83E-06	-4.395558435	1.20E-05
NA	3.06E-07	8.13E-07	0.376833126	0.706363531
NA	1.32E-06	1.61E-06	0.81772569	0.413674429
NA	8.90E-08	2.20E-07	0.404941973	0.685591565
MAP3K8	-6.65E-07	7.63E-08	-8.717687524	9.18E-18
NA	0	1.453387714	0	1
NA	-1.06E-05	2.03E-06	-5.22919566	2.00E-07
NA	-1.81E-05	1.74E-05	-1.035515095	0.300634811
SNORD115-20	2.11E-06	2.34E-06	0.902865331	0.366776625
PTP4A1	2.13E-08	1.85E-08	1.154573727	0.248492436
TMEM237	-3.10E-06	1.75E-07	-17.66229566	2.62E-62
NA	0.000147164	0.000191514	0.768423159	0.442385399
FAM166A	4.84E-06	2.95E-06	1.637751651	0.101732871
NA	1.07E-07	1.70E-07	0.631360994	0.527923467
NA	-1.93E-05	1.75E-05	-1.103225182	0.270148207
SSX4B	1.38E-05	1.97E-05	0.700996814	0.483439452
SOX15	1.22E-08	8.48E-08	0.14386418	0.885631618
NA	3.23E-08	3.91E-06	0.008264496	0.99340732
CDH5	-9.62E-07	3.77E-08	-25.48867428	4.09E-115
NA	7.64E-06	4.25E-06	1.795314349	0.072852475
MCCC1	-5.04E-07	5.98E-08	-8.427786723	9.86E-17
GID4	-3.20E-06	2.18E-07	-14.6823385	4.81E-45
RP4-655J12.4	2.04E-06	1.48E-06	1.377077912	0.168742231
PRPF4	5.96E-07	7.14E-08	8.35605571	1.76E-16
NA	8.84E-06	9.28E-06	0.952629446	0.340967637
RASAL2	-9.42E-07	2.16E-07	-4.362680164	1.39E-05
NA	4.96E-08	8.55E-08	0.579713865	0.562215245
NA	1.61E-05	1.01E-05	1.588265267	0.112486972
NA	4.63E-06	1.31E-06	3.535384572	0.000422522
NA	2.08E-07	1.35E-07	1.544388955	0.122754968
NA	1.23E-05	1.73E-05	0.713577773	0.475625573
NA	0	1.453387714	0	1
FNDC9	6.68E-06	4.08E-06	1.639045974	0.101462999
SH3D19	-8.99E-07	2.74E-08	-32.84518194	8.65E-170
NA	-4.95E-07	4.20E-06	-0.117721554	0.906307777
NA	1.82E-06	3.97E-06	0.458921473	0.646372778
NA	-1.34E-06	1.04E-06	-1.294760587	0.195649232
NA	1.05E-06	1.29E-06	0.816804795	0.414200378
NA	-0.000153212	1.11E-05	-13.82100936	1.86E-40
GATS	-1.81E-06	2.63E-07	-6.888597504	9.03E-12
NA	1.24E-05	3.52E-05	0.352336067	0.724647448
RTL1	2.02E-07	3.25E-07	0.622593174	0.533668918
TTLL6	3.41E-06	2.50E-06	1.365239678	0.172430869
NA	1.91E-05	4.34E-06	4.395504128	1.20E-05
NA	4.86E-07	7.48E-07	0.650508474	0.51548702
NA	2.89E-07	6.23E-07	0.463690449	0.642952734
NA	1.34E-06	5.04E-07	2.658366265	0.007955331
NA	2.72E-06	2.37E-06	1.149864837	0.250426197
NA	2.28E-05	1.33E-05	1.712476996	0.087064372
NA	1.02E-06	3.76E-06	0.270819347	0.786576054
MIR4495	1.66E-05	2.40E-05	0.693468096	0.488148604
NA	4.68E-06	3.47E-06	1.349990954	0.177270736
NA	0	1.453387714	0	1
NA	-7.15E-06	2.51E-05	-0.284323284	0.776211172
CDC73	3.76E-07	7.55E-08	4.972966398	7.54E-07
NA	1.28E-05	6.07E-06	2.102717382	0.035696109
FPGT	5.84E-07	1.80E-07	3.244190407	0.00120997
NA	7.87E-06	1.20E-05	0.658475054	0.51035788
NA	-1.50E-05	5.86E-06	-2.553856416	0.010775133
NA	-8.84E-07	1.10E-06	-0.804759216	0.421116343
YRDC	4.04E-07	7.60E-08	5.312688064	1.28E-07
RP3-400B16.1	-3.10E-05	4.32E-06	-7.163695328	1.36E-12
RP11-736I10.1	2.02E-06	4.50E-06	0.448338174	0.653989224
NA	0	1.453387714	0	1
NA	6.69E-06	1.36E-05	0.491493525	0.62316635
TET3	1.21E-06	1.64E-07	7.427875085	2.07E-13
NA	1.35E-05	1.12E-05	1.206212079	0.227970935
NA	0	1.453387714	0	1
SRCIN1	2.33E-07	7.38E-08	3.155860775	0.001639631
CTRL	1.18E-05	1.55E-05	0.763551302	0.44528316
NA	1.38E-07	3.12E-07	0.440896343	0.659366608
NA	4.12E-05	3.47E-05	1.188039099	0.235050569
CCT7	1.11E-07	1.37E-08	8.108849486	1.24E-15
LGR6	-2.55E-07	4.78E-08	-5.336072984	1.13E-07
CCDC120	1.41E-06	1.99E-07	7.123195133	1.80E-12
NA	-2.74E-05	2.07E-06	-13.23309391	1.94E-37
ZBTB17	7.39E-07	1.47E-07	5.029706814	5.65E-07
AQP4	-4.44E-07	1.40E-07	-3.171742278	0.001553264
APBB1	-9.55E-07	1.17E-07	-8.130013943	1.05E-15
NA	2.78E-07	8.28E-08	3.360802877	0.00080135
NA	4.50E-05	5.53E-05	0.813601082	0.416033191
NA	8.21E-05	9.43E-05	0.870512509	0.384192624
NA	5.19E-06	6.74E-06	0.770360585	0.441236035
NA	1.52E-07	4.38E-07	0.346165198	0.7292786
NA	0	1.453387714	0	1
NA	-9.31E-05	2.53E-05	-3.68468976	0.000239078
RPS19BP1	1.50E-07	3.80E-08	3.944145208	8.47E-05
NA	-6.47E-05	3.37E-05	-1.918487819	0.055283691
HPCA	3.32E-06	9.95E-07	3.341385479	0.000859
NA	6.59E-06	9.51E-06	0.692948824	0.488474315
RP11-382E9.1	-3.56E-05	1.23E-05	-2.905010504	0.00373902
NA	-5.48E-07	9.45E-08	-5.793071479	8.80E-09
RIC3	-3.87E-06	3.27E-07	-11.81791688	1.40E-30
NA	7.27E-06	2.41E-05	0.301316679	0.763224668
NA	1.51E-05	1.35E-05	1.115710346	0.264767118
RP11-569G13.3	-5.85E-06	1.70E-06	-3.447434216	0.000585322
DHX34	1.44E-06	1.39E-07	10.34479917	4.29E-24
NA	-7.91E-07	1.60E-06	-0.494549907	0.621007424
NA	8.55E-06	7.96E-06	1.073636293	0.283199255
SPINK5	-2.57E-07	1.47E-07	-1.74719358	0.080856827
PLXNA1	-6.21E-08	9.49E-08	-0.654708688	0.512779453
NA	3.84E-06	4.69E-06	0.819095026	0.412893095
SBK3	-6.95E-05	4.77E-06	-14.57552166	1.83E-44
TTTY16	1.75E-05	5.46E-05	0.320101584	0.748946453
NA	-3.29E-07	3.52E-07	-0.932527578	0.351249514
SKIV2L2	-1.07E-07	7.43E-08	-1.435035385	0.151534794
ADAM18	1.59E-06	1.72E-06	0.928197099	0.353489996
NA	3.87E-07	2.41E-07	1.601234828	0.109585295
NA	1.43E-07	1.58E-05	0.009054062	0.992777491
NA	-1.51E-06	9.46E-07	-1.599225635	0.110030894
XRCC6	3.81E-08	1.08E-08	3.538982262	0.000416864
NA	4.38E-05	4.44E-05	0.986377233	0.324144739
CREBRF	-3.61E-06	2.02E-07	-17.84410131	2.01E-63
GPT2	-2.45E-07	4.31E-08	-5.68354865	1.65E-08
NA	-1.64E-05	3.20E-06	-5.112548549	3.69E-07
TXNDC5	2.12E-07	3.13E-07	0.676531759	0.498832069
NA	7.10E-06	4.62E-06	1.53721047	0.12450257
NA	2.63E-06	9.89E-07	2.66382023	0.007828255
NA	-8.26E-05	9.26E-06	-8.925196233	1.61E-18
DCBLD1	5.24E-07	1.42E-07	3.695164479	0.000229539
NA	3.84E-07	5.48E-07	0.700459949	0.483774437
MIR199B	-4.38E-06	4.20E-06	-1.042813905	0.297242275
NA	-1.19E-05	2.47E-05	-0.483927216	0.628524877
NA	1.35E-06	2.04E-06	0.659860522	0.509468607
AP000946.2	5.80E-06	1.07E-05	0.542791578	0.587373028
TMEM14C	1.64E-08	1.29E-08	1.272176552	0.20355422
NA	-5.55E-05	8.07E-06	-6.879783719	9.58E-12
FBXW10	3.58E-06	3.21E-06	1.116783316	0.264308145
NA	4.06E-07	3.64E-07	1.116992968	0.264218529
NA	1.93E-06	3.66E-06	0.526434541	0.598682564
NA	5.07E-05	6.14E-06	8.25168828	4.03E-16
NA	5.69E-08	6.18E-07	0.092173367	0.926575518
TIMP2	-6.72E-08	6.61E-09	-10.16089541	2.47E-23
XIAP	2.72E-07	1.18E-07	2.300151071	0.021608758
PDCD10	6.09E-07	6.92E-08	8.801381368	4.57E-18
FCGR3A	1.15E-07	1.59E-08	7.256863451	7.05E-13
NA	7.55E-07	2.80E-07	2.695991975	0.007115029
NA	2.56E-07	7.90E-07	0.323559898	0.746327027
NA	-2.92E-06	6.42E-06	-0.454949979	0.649226637
NA	0	1.453387714	0	1
NA	1.28E-07	1.70E-07	0.756039033	0.449772589
ST14	8.43E-08	1.19E-08	7.068101069	2.64E-12
NA	7.08E-06	2.25E-06	3.140174061	0.001729264
NA	7.58E-06	7.72E-06	0.98246278	0.326067824
IL17B	-8.17E-07	1.05E-07	-7.785636109	1.48E-14
NA	8.75E-07	4.07E-07	2.14846584	0.031874261
OR51L1	3.78E-05	5.51E-05	0.685121892	0.493397904
NA	1.93E-06	6.53E-06	0.295278812	0.767831434
RP11-3N2.3	-4.54E-06	2.24E-05	-0.202692209	0.839409605
NFAT5	-1.70E-06	1.33E-07	-12.70800875	7.95E-35
GAS5	2.16E-10	9.11E-09	0.023656969	0.981130121
MIR4663	1.39E-06	1.48E-06	0.9398756	0.347468493
NA	7.18E-06	8.93E-06	0.803278176	0.421971341
NA	1.71E-05	3.36E-05	0.50879744	0.610986743
NA	5.77E-06	5.79E-06	0.995532461	0.319675912
KRTDAP	2.11E-09	4.10E-09	0.514066465	0.607299157
NA	1.64E-06	3.29E-06	0.499646344	0.617414735
NA	-3.21E-09	4.55E-07	-0.007044667	0.994380374
NA	1.17E-06	1.26E-06	0.927959733	0.353613065
NA	-1.96E-07	3.84E-07	-0.509243379	0.610674263
NA	-1.90E-06	6.41E-07	-2.967909813	0.003057146
NA	-1.31E-05	2.34E-06	-5.606644379	2.55E-08
CNKSR1	7.92E-07	9.62E-08	8.237323809	4.52E-16
NA	6.06E-07	5.96E-07	1.015538022	0.310051946
RP11-390G14.7	-1.35E-06	2.52E-07	-5.344678195	1.08E-07
NA	2.35E-06	2.34E-06	1.003934218	0.315610545
ODF3L2	-4.96E-07	6.22E-07	-0.798158265	0.424934882
NA	2.54E-06	2.92E-06	0.869113983	0.384956722
C1QTNF7	-4.45E-06	2.47E-07	-18.01926231	1.66E-64
REEP4	4.22E-07	4.14E-08	10.1993742	1.72E-23
RP11-520P18.5	1.89E-07	2.79E-07	0.67778382	0.49803803
HCP5	7.85E-08	2.81E-08	2.795574706	0.005262466
B9D2	8.67E-07	1.71E-07	5.082874191	4.30E-07
NA	2.26E-06	1.59E-06	1.419777566	0.15592939
MYH2	-4.58E-09	1.46E-09	-3.127246452	0.001806499
NA	0	1.453387714	0	1
TSTD3	-4.02E-06	4.39E-07	-9.160250739	2.14E-19
CTD-2630F21.1	2.16E-06	4.60E-07	4.692225804	3.01E-06
NA	1.77E-07	1.99E-07	0.89298844	0.372040487
NA	1.88E-05	5.32E-06	3.538691846	0.000417318
NA	6.34E-07	8.77E-07	0.722413033	0.470179825
MIR181A2	1.28E-07	1.62E-07	0.788138702	0.430769569
NA	3.00E-06	8.49E-06	0.353079366	0.724090289
NA	6.84E-05	0.000213559	0.320101577	0.748946458
NA	-9.25E-05	9.97E-06	-9.284099758	7.28E-20
RP3-340N1.6	3.53E-05	2.84E-05	1.242565486	0.214268147
TMEM229B	6.95E-07	1.31E-07	5.305334854	1.34E-07
NA	1.19E-06	3.03E-07	3.937377342	8.71E-05
NA	-4.06E-05	4.21E-06	-9.642602408	2.99E-21
NA	2.97E-07	4.45E-07	0.668264972	0.504091605
NA	-1.53E-05	1.52E-06	-10.09876799	4.44E-23
NA	-0.000236029	3.33E-05	-7.08569449	2.34E-12
RNF175	-3.73E-06	8.96E-07	-4.167127218	3.30E-05
RPS21	3.18E-09	1.41E-09	2.252941616	0.024440918
NA	2.56E-06	2.49E-06	1.026329948	0.304940705
GRID1	-7.59E-06	7.02E-07	-10.80478606	4.80E-26
NA	1.47E-06	1.95E-06	0.753578927	0.451248345
CITF22-92A6.2	1.33E-05	3.80E-06	3.492027592	0.000496604
NA	0	1.453387714	0	1
TRAF7	4.08E-07	3.51E-08	11.62486285	1.08E-29
NA	-5.02E-06	2.58E-06	-1.949933807	0.051414135
NA	6.50E-06	1.91E-06	3.401319199	0.000692448
NA	1.88E-06	5.27E-06	0.356801027	0.721302825
NA	6.30E-05	6.84E-05	0.921049987	0.357207471
NA	2.40E-05	1.31E-05	1.831683132	0.067243759
NA	0	1.453387714	0	1
NA	-2.16E-08	1.87E-06	-0.011561455	0.9907774
TBC1D7	2.09E-06	2.45E-07	8.530622057	4.28E-17
NA	1.56E-06	1.17E-06	1.340832276	0.180225947
RP11-183M13.1	-2.95E-06	5.33E-06	-0.55281417	0.580492521
STH	5.04E-07	3.99E-07	1.261165649	0.207491668
RP11-215E13.1	3.03E-05	1.76E-05	1.724463937	0.084878881
NA	1.90E-05	2.41E-05	0.787998852	0.430851335
NA	3.29E-06	1.32E-05	0.248717134	0.803621698
NA	2.53E-06	6.05E-07	4.186434511	3.04E-05
MAMDC4	9.83E-07	3.97E-07	2.473245721	0.013525387
NA	-1.05E-07	2.82E-06	-0.037112727	0.970401231
MIR548K	1.45E-07	2.19E-07	0.659310705	0.509821414
NA	0.00013763	3.55E-05	3.87992794	0.000110104
RNVU1-14	0	1.453387714	0	1
ITGB1BP1	-1.17E-06	5.86E-08	-19.98791707	4.70E-77
NA	1.94E-07	1.75E-07	1.103953042	0.269832454
NA	-9.46E-07	2.97E-07	-3.18449445	0.001486972
NA	3.27E-06	1.02E-05	0.321201447	0.748113069
PRPF38A	-3.41E-07	1.14E-07	-2.98958249	0.00284988
CTD-2143L24.1	6.93E-06	4.41E-06	1.571732842	0.11627331
NA	1.74E-06	5.47E-07	3.181600249	0.001501784
NA	0	1.453387714	0	1
NA	6.71E-06	8.06E-06	0.832497707	0.405291943
NA	7.54E-06	1.88E-05	0.400072249	0.689173745
NA	1.24E-05	1.16E-05	1.067064904	0.286154854
GPR37L1	8.13E-07	3.86E-07	2.107720964	0.035259885
NA	-1.39E-05	3.47E-06	-3.995135188	6.85E-05
NA	1.00E-05	1.45E-05	0.692381088	0.488830559
NA	4.01E-07	1.93E-07	2.08031115	0.037706503
PHKG2	1.15E-06	1.16E-07	9.930213935	2.14E-22
MIR4650-1	8.52E-07	7.58E-07	1.124732546	0.260924896
MAP2K6	-2.70E-06	2.73E-07	-9.896138514	2.94E-22
CHRFAM7A	-9.11E-05	1.29E-05	-7.080053428	2.43E-12
NA	-8.75E-06	1.74E-06	-5.031493894	5.60E-07
OR2A12	3.73E-06	9.25E-06	0.403445976	0.686691276
NA	-3.02E-07	2.93E-07	-1.033044611	0.301788938
NA	3.56E-06	4.17E-06	0.853454045	0.393576059
GPRC5B	-6.81E-07	5.30E-08	-12.83738315	1.84E-35
NA	2.01E-06	3.65E-06	0.55016041	0.582310644
FRMD6	-4.05E-07	5.17E-08	-7.843947982	9.52E-15
MIR323B	7.39E-09	4.12E-06	0.001794313	0.998568641
NA	-5.26E-06	1.42E-06	-3.715955897	0.000211656
ARFGEF3	2.82E-07	4.60E-08	6.130370771	1.18E-09
NA	7.78E-06	1.58E-05	0.493225454	0.621942573
NA	3.86E-06	1.73E-06	2.234617984	0.025623991
NA	7.70E-07	1.00E-06	0.769180971	0.441935628
AKAP5	1.04E-06	2.00E-07	5.213598119	2.18E-07
NA	5.40E-06	3.82E-06	1.412985939	0.157916395
HEPHL1	2.97E-07	2.73E-07	1.089330954	0.276224332
NA	4.89E-07	3.99E-07	1.22413564	0.221138767
NA	3.03E-06	1.58E-06	1.919153245	0.055199359
ATP13A2	3.94E-07	4.24E-08	9.285311292	7.21E-20
NA	1.89E-07	1.84E-07	1.024623461	0.305745178
NA	-3.04E-08	2.90E-06	-0.010515128	0.991612025
RP11-554D15.1	-6.41E-06	2.30E-06	-2.783716004	0.005457471
GPR6	1.27E-06	8.58E-07	1.47966459	0.139222433
BTBD10	7.00E-07	1.39E-07	5.024063804	5.82E-07
SNORD15A	3.36E-08	7.11E-08	0.47184008	0.637125802
NA	2.48E-07	2.61E-07	0.949957522	0.342323065
ZNF354B	-3.40E-06	3.42E-07	-9.949875261	1.78E-22
NA	-1.64E-06	1.13E-06	-1.455507955	0.145787436
PRICKLE4	4.41E-06	1.47E-06	3.009947225	0.002666911
NA	-8.49E-06	2.60E-06	-3.27106739	0.001101555
NA	6.82E-06	6.32E-06	1.079289306	0.280673338
NA	1.67E-06	3.02E-06	0.551359033	0.581489124
ZNF267	1.50E-06	2.88E-07	5.206563258	2.26E-07
USP17L17	0.000242226	0.000756715	0.320101497	0.748946519
NA	2.22E-06	7.14E-06	0.311371053	0.755572061
AC012309.5	7.05E-07	3.63E-07	1.94397881	0.052128982
PSMC3	1.03E-07	1.58E-08	6.537241162	9.21E-11
GRK4	-1.24E-06	9.78E-07	-1.263170948	0.206770492
LCA5	-7.07E-06	3.04E-07	-23.2209942	5.51E-99
NA	7.71E-06	2.34E-05	0.329703459	0.741680965
NA	7.73E-06	5.83E-06	1.324956519	0.185435105
RP11-710F7.3	1.27E-05	6.24E-06	2.030133459	0.042560833
NA	1.04E-06	1.01E-06	1.033105922	0.30176026
NA	6.11E-05	5.94E-05	1.028630114	0.303858586
RP11-460H14.1	1.28E-06	6.60E-06	0.193548268	0.846562012
PNMAL2	-8.52E-06	6.33E-07	-13.45517581	1.44E-38
NA	2.59E-07	5.21E-07	0.496955639	0.619310389
NA	-1.06E-05	3.59E-07	-29.51737724	9.21E-145
NA	-2.41E-05	7.61E-06	-3.162889804	0.001600874
RBBP8NL	1.24E-06	1.37E-07	9.043287824	5.88E-19
NA	-3.76E-06	1.13E-06	-3.322445844	0.000918921
SH3BP5	-2.13E-06	1.54E-07	-13.82568508	1.76E-40
NA	0	1.453387714	0	1
NA	-1.21E-06	2.01E-07	-6.001928273	2.57E-09
NA	-1.15E-05	1.11E-05	-1.028127625	0.304094765
NA	6.48E-06	1.29E-05	0.503512234	0.614695604
GPR161	1.37E-08	1.91E-07	0.071534822	0.942983904
NA	7.57E-06	7.35E-06	1.030245429	0.303100186
AKAP3	-3.99E-06	7.59E-07	-5.263930128	1.67E-07
NA	-1.26E-06	4.79E-05	-0.026389988	0.97895062
NA	1.01E-06	9.92E-07	1.020309403	0.307785193
NA	7.15E-07	7.48E-07	0.955752694	0.339387626
NA	1.20E-06	1.87E-06	0.64366937	0.51991153
NA	1.55E-05	4.18E-05	0.370525195	0.711055898
GPR180	-9.85E-07	2.17E-07	-4.534471902	6.35E-06
NA	-1.55E-06	8.41E-07	-1.848026875	0.064841752
CLDN34	7.42E-06	3.80E-06	1.952822263	0.05107037
NA	0	1.453387714	0	1
NA	5.67E-07	3.36E-07	1.686716052	0.091915095
MYL9	-6.59E-08	3.72E-09	-17.71511108	1.25E-62
NA	1.57E-06	2.52E-06	0.622966003	0.533423965
NA	1.49E-05	3.96E-06	3.748878201	0.000185994
NA	2.30E-05	3.71E-06	6.209655393	7.28E-10
NA	5.38E-05	5.89E-05	0.91341452	0.361206085
NA	-2.71E-07	5.19E-06	-0.052129048	0.958434451
NA	4.48E-07	1.33E-07	3.360091733	0.000803397
NA	-3.90E-05	1.99E-05	-1.955021671	0.050809906
PHLDB2	-1.64E-06	1.12E-07	-14.74584003	2.17E-45
MIR609	2.47E-06	2.56E-06	0.965570123	0.334451793
NAT1	2.60E-08	4.70E-09	5.535612566	3.80E-08
NA	1.43E-06	9.58E-07	1.497868061	0.134427703
BAIAP2	5.18E-07	7.28E-08	7.110978091	1.96E-12
NA	-2.28E-07	5.52E-07	-0.413031064	0.679656853
NA	1.71E-06	3.40E-06	0.502947652	0.615092382
NA	-4.59E-07	1.68E-07	-2.735620149	0.006317079
