Category+A1:M65	Term	Count	%	PValue	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	13	1.263362488	1.69E-07	6.729430624	6.41E-04	5.01E-06	3.12E-04
GOTERM_CC_DIRECT	GO:0031264~death-inducing signaling complex	7	0.680272109	1.85E-07	18.11530815	8.90E-05	3.56E-06	2.65E-04
GOTERM_CC_DIRECT	GO:0005579~membrane attack complex	7	0.680272109	1.85E-07	18.11530815	8.90E-05	3.56E-06	2.65E-04
GOTERM_MF_DIRECT	GO:0004908~interleukin-1 receptor activity	7	0.680272109	1.98E-07	17.90137858	1.82E-04	7.30E-06	3.10E-04
GOTERM_BP_DIRECT	GO:0007250~activation of NF-kappaB-inducing kinase activity	10	0.971817298	2.32E-07	9.490222674	8.80E-04	6.82E-06	4.29E-04
GOTERM_BP_DIRECT	GO:0038083~peptidyl-tyrosine autophosphorylation	14	1.360544218	2.37E-07	5.978840285	8.98E-04	6.91E-06	4.38E-04
UP_KEYWORDS	GPI-anchor	24	2.332361516	2.40E-07	3.548652221	9.19E-05	2.09E-06	3.33E-04
GOTERM_BP_DIRECT	GO:0032819~positive regulation of natural killer cell proliferation	7	0.680272109	2.62E-07	17.08240081	9.94E-04	7.59E-06	4.85E-04
UP_KEYWORDS	Collagen	20	1.943634597	2.66E-07	4.134059135	1.02E-04	2.26E-06	3.68E-04
GOTERM_MF_DIRECT	GO:0005178~integrin binding	22	2.137998056	2.79E-07	3.750765036	2.57E-04	9.87E-06	4.36E-04
GOTERM_MF_DIRECT	GO:0042288~MHC class I protein binding	10	0.971817298	2.81E-07	9.421778199	2.58E-04	9.57E-06	4.39E-04
BIOCARTA	h_tollPathway:Toll-Like Receptor Pathway	22	2.137998056	2.84E-07	3.125546424	6.48E-05	4.63E-06	3.64E-04
GOTERM_BP_DIRECT	GO:0031640~killing of cells of other organism	9	0.874635569	2.91E-07	10.98154338	0.001103242	8.36E-06	5.38E-04
INTERPRO	IPR002909:Cell surface receptor IPT/TIG	12	1.166180758	3.22E-07	7.191320353	3.90E-04	9.07E-06	5.22E-04
GOTERM_BP_DIRECT	GO:0042113~B cell activation	12	1.166180758	3.38E-07	7.068579647	0.001279098	9.62E-06	6.24E-04
BIOCARTA	h_erythPathway:Erythrocyte Differentiation Pathway	13	1.263362488	3.46E-07	4.678848283	7.90E-05	5.27E-06	4.44E-04
UP_KEYWORDS	IgG-binding protein	7	0.680272109	3.65E-07	17.72477854	1.40E-04	3.04E-06	5.05E-04
BIOCARTA	h_tcraPathway:Lck and Fyn tyrosine kinases in initiation of TCR Activation	11	1.068999028	3.74E-07	5.398671096	8.53E-05	5.33E-06	4.79E-04
BIOCARTA	h_blymphocytePathway:B Lymphocyte Cell Surface Molecules	11	1.068999028	3.74E-07	5.398671096	8.53E-05	5.33E-06	4.79E-04
BIOCARTA	h_asbcellPathway:Antigen Dependent B Cell Activation	12	1.166180758	3.98E-07	4.983388704	9.07E-05	5.33E-06	5.09E-04
BIOCARTA	h_il22bpPathway:IL22 Soluble Receptor Signaling Pathway 	12	1.166180758	3.98E-07	4.983388704	9.07E-05	5.33E-06	5.09E-04
BIOCARTA	h_lectinPathway:Lectin Induced Complement Pathway	12	1.166180758	3.98E-07	4.983388704	9.07E-05	5.33E-06	5.09E-04
UP_SEQ_FEATURE	propeptide:Removed in mature form	33	3.206997085	3.98E-07	2.752297811	0.001010202	2.53E-05	7.04E-04
GOTERM_BP_DIRECT	GO:0043011~myeloid dendritic cell differentiation	10	0.971817298	4.18E-07	8.99073727	0.001584332	1.18E-05	7.73E-04
UP_SEQ_FEATURE	domain:MACPF	7	0.680272109	4.21E-07	17.29568966	0.001068882	2.61E-05	7.45E-04
GOTERM_MF_DIRECT	GO:0019864~IgG binding	8	0.777453839	4.46E-07	13.01918442	4.11E-04	1.47E-05	6.98E-04
KEGG_PATHWAY	hsa04622:RIG-I-like receptor signaling pathway	23	2.235179786	4.61E-07	3.328781822	1.02E-04	2.09E-06	5.88E-04
GOTERM_BP_DIRECT	GO:0015992~proton transport	15	1.457725948	4.91E-07	5.229306372	0.001860774	1.38E-05	9.08E-04
GOTERM_BP_DIRECT	GO:0030217~T cell differentiation	12	1.166180758	5.05E-07	6.832960326	0.001912599	1.41E-05	9.33E-04
GOTERM_CC_DIRECT	GO:0005581~collagen trimer	20	1.943634597	5.12E-07	3.938110468	2.46E-04	9.48E-06	7.34E-04
GOTERM_CC_DIRECT	GO:0030658~transport vesicle membrane	13	1.263362488	5.28E-07	6.197342262	2.54E-04	9.41E-06	7.56E-04
UP_KEYWORDS	Pyrrolidone carboxylic acid	19	1.846452867	5.60E-07	4.13850436	2.14E-04	4.56E-06	7.76E-04
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	76	7.385811467	5.66E-07	1.816428267	5.20E-04	1.79E-05	8.84E-04
SMART	SM00077:ITAM	7	0.680272109	5.70E-07	14.96577381	1.37E-04	9.78E-06	7.36E-04
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	64	6.219630709	5.88E-07	1.934997614	0.002227356	1.63E-05	0.001086734
GOTERM_MF_DIRECT	GO:0004714~transmembrane receptor protein tyrosine kinase activity	13	1.263362488	5.97E-07	6.12415583	5.49E-04	1.83E-05	9.33E-04
INTERPRO	IPR001824:Tyrosine-protein kinase, receptor class III, conserved site	7	0.680272109	6.08E-07	16.25538038	7.35E-04	1.67E-05	9.83E-04
INTERPRO	IPR003110:Phosphorylated immunoreceptor signaling ITAM	7	0.680272109	6.08E-07	16.25538038	7.35E-04	1.67E-05	9.83E-04
INTERPRO	IPR003531:Short hematopoietin receptor, family 1, conserved site	7	0.680272109	6.08E-07	16.25538038	7.35E-04	1.67E-05	9.83E-04
GOTERM_BP_DIRECT	GO:0002523~leukocyte migration involved in inflammatory response	8	0.777453839	6.14E-07	12.42356423	0.002325708	1.69E-05	0.001134776
GOTERM_BP_DIRECT	GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	15	1.457725948	6.46E-07	5.124720244	0.002445642	1.76E-05	0.001193366
GOTERM_BP_DIRECT	GO:0001816~cytokine production	11	1.068999028	6.52E-07	7.516256358	0.002469433	1.77E-05	0.001204989
GOTERM_BP_DIRECT	GO:0034612~response to tumor necrosis factor	11	1.068999028	6.52E-07	7.516256358	0.002469433	1.77E-05	0.001204989
GOTERM_BP_DIRECT	GO:0070423~nucleotide-binding oligomerization domain containing signaling pathway	11	1.068999028	6.52E-07	7.516256358	0.002469433	1.77E-05	0.001204989
GOTERM_CC_DIRECT	GO:0033180~proton-transporting V-type ATPase, V1 domain	7	0.680272109	7.05E-07	15.85089463	3.39E-04	1.21E-05	0.001010092
UP_SEQ_FEATURE	domain:Death	12	1.166180758	7.09E-07	6.777086559	0.001797368	4.28E-05	0.001252569
GOTERM_BP_DIRECT	GO:0032753~positive regulation of interleukin-4 production	10	0.971817298	7.21E-07	8.541200407	0.002729522	1.94E-05	0.001332076
KEGG_PATHWAY	hsa05146:Amoebiasis	29	2.818270165	7.40E-07	2.771709228	1.64E-04	3.29E-06	9.44E-04
GOTERM_MF_DIRECT	GO:0042379~chemokine receptor binding	7	0.680272109	7.56E-07	15.66370626	6.95E-04	2.24E-05	0.001180998
GOTERM_MF_DIRECT	GO:0071723~lipopeptide binding	7	0.680272109	7.56E-07	15.66370626	6.95E-04	2.24E-05	0.001180998
GOTERM_MF_DIRECT	GO:0023026~MHC class II protein complex binding	9	0.874635569	7.86E-07	10.06952545	7.23E-04	2.26E-05	0.00122931
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	74	7.191448008	8.35E-07	1.814660294	7.68E-04	2.33E-05	0.001305145
KEGG_PATHWAY	hsa05143:African trypanosomiasis	15	1.457725948	9.86E-07	4.605034141	2.19E-04	4.29E-06	0.001257007
GOTERM_BP_DIRECT	GO:0033173~calcineurin-NFAT signaling cascade	7	0.680272109	9.97E-07	14.94710071	0.003771442	2.66E-05	0.001841516
GOTERM_BP_DIRECT	GO:0002827~positive regulation of T-helper 1 type immune response	7	0.680272109	9.97E-07	14.94710071	0.003771442	2.66E-05	0.001841516
GOTERM_BP_DIRECT	GO:0010888~negative regulation of lipid storage	7	0.680272109	9.97E-07	14.94710071	0.003771442	2.66E-05	0.001841516
GOTERM_BP_DIRECT	GO:0010818~T cell chemotaxis	7	0.680272109	9.97E-07	14.94710071	0.003771442	2.66E-05	0.001841516
GOTERM_BP_DIRECT	GO:0071550~death-inducing signaling complex assembly	7	0.680272109	9.97E-07	14.94710071	0.003771442	2.66E-05	0.001841516
GOTERM_BP_DIRECT	GO:0032757~positive regulation of interleukin-8 production	11	1.068999028	1.00E-06	7.227169575	0.003800382	2.66E-05	0.001855674
GOTERM_BP_DIRECT	GO:0043406~positive regulation of MAP kinase activity	16	1.554907677	1.01E-06	4.632515475	0.003827845	2.66E-05	0.001869109
GOTERM_MF_DIRECT	GO:0008083~growth factor activity	27	2.623906706	1.06E-06	2.983563097	9.71E-04	2.86E-05	0.001651185
GOTERM_MF_DIRECT	GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity	16	1.554907677	1.11E-06	4.619710601	0.001025254	2.93E-05	0.001742891
GOTERM_MF_DIRECT	GO:0050839~cell adhesion molecule binding	16	1.554907677	1.11E-06	4.619710601	0.001025254	2.93E-05	0.001742891
INTERPRO	IPR000488:Death domain	12	1.166180758	1.30E-06	6.369455169	0.001574676	3.50E-05	0.002107718
UP_SEQ_FEATURE	domain:Ig-like C2-type 6	12	1.166180758	1.32E-06	6.410757556	0.003353094	7.81E-05	0.00233855
UP_KEYWORDS	Cleavage on pair of basic residues	36	3.498542274	1.35E-06	2.480435481	5.18E-04	1.08E-05	0.001874412
GOTERM_BP_DIRECT	GO:0007252~I-kappaB phosphorylation	8	0.777453839	1.40E-06	11.38826721	0.005291046	3.66E-05	0.002585468
GOTERM_BP_DIRECT	GO:0042088~T-helper 1 type immune response	8	0.777453839	1.40E-06	11.38826721	0.005291046	3.66E-05	0.002585468
BIOCARTA	h_ctlPathway:CTL mediated immune response against target cells 	12	1.166180758	1.55E-06	4.627432368	3.54E-04	1.97E-05	0.001986651
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	37	3.595724004	1.57E-06	2.412400115	0.00593103	4.07E-05	0.002899123
INTERPRO	IPR016332:Alpha-1B-glycoprotein/leukocyte immunoglobulin-like receptor	7	0.680272109	1.74E-06	14.449227	0.00210287	4.58E-05	0.002815445
GOTERM_BP_DIRECT	GO:0002576~platelet degranulation	21	2.040816327	1.81E-06	3.482819583	0.006831725	4.66E-05	0.003340893
BIOCARTA	h_il5Pathway:IL 5 Signaling Pathway	10	0.971817298	1.89E-06	5.398671096	4.31E-04	2.27E-05	0.002420668
GOTERM_BP_DIRECT	GO:0046427~positive regulation of JAK-STAT cascade	10	0.971817298	1.92E-06	7.764727643	0.007250405	4.92E-05	0.003546382
GOTERM_BP_DIRECT	GO:0014066~regulation of phosphatidylinositol 3-kinase signaling	18	1.749271137	2.02E-06	3.942092496	0.007645199	5.15E-05	0.003740226
UP_SEQ_FEATURE	repeat:TNFR-Cys 4	8	0.777453839	2.07E-06	11.29514426	0.005242555	1.19E-04	0.003659762
UP_SEQ_FEATURE	glycosylation site:C-linked (Man)	8	0.777453839	2.07E-06	11.29514426	0.005242555	1.19E-04	0.003659762
GOTERM_MF_DIRECT	GO:0005126~cytokine receptor binding	8	0.777453839	2.10E-06	11.01623297	0.001932151	5.37E-05	0.003286046
BIOCARTA	h_ctla4Pathway:The Co-Stimulatory Signal During T-cell Activation	14	1.360544218	2.14E-06	3.977968176	4.89E-04	2.44E-05	0.002743901
GOTERM_MF_DIRECT	GO:0045236~CXCR chemokine receptor binding	7	0.680272109	2.16E-06	13.92329445	0.001984314	5.37E-05	0.003374849
GOTERM_BP_DIRECT	GO:0050728~negative regulation of inflammatory response	18	1.749271137	2.44E-06	3.89219259	0.009210015	6.17E-05	0.004509309
UP_KEYWORDS	Zymogen	29	2.818270165	2.44E-06	2.745092538	9.36E-04	1.91E-05	0.003387215
INTERPRO	IPR020863:Membrane attack complex component/perforin domain, conserved site	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
INTERPRO	IPR012227:TNF receptor-associated factor TRAF	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
INTERPRO	IPR020443:Interleukin-10/19/20/24	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
INTERPRO	IPR004074:Interleukin-1 receptor, type I/II	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
INTERPRO	IPR006053:Tumour necrosis factor alpha/beta/c	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
INTERPRO	IPR001003:MHC class II, alpha chain, N-terminal	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
INTERPRO	IPR020423:Interleukin-10, conserved site	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
INTERPRO	IPR003532:Short hematopoietin receptor, family 2, conserved site	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
INTERPRO	IPR010345:Interleukin-17	6	0.583090379	2.55E-06	18.57757758	0.003084662	6.57E-05	0.004131931
GOTERM_BP_DIRECT	GO:1900017~positive regulation of cytokine production involved in inflammatory response	7	0.680272109	2.84E-06	13.28631174	0.010714155	7.13E-05	0.005249709
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	8	0.777453839	2.88E-06	10.51224665	0.010853207	7.18E-05	0.005318213
GOTERM_BP_DIRECT	GO:0016045~detection of bacterium	8	0.777453839	2.88E-06	10.51224665	0.010853207	7.18E-05	0.005318213
GOTERM_CC_DIRECT	GO:0000220~vacuolar proton-transporting V-type ATPase, V0 domain	6	0.583090379	2.89E-06	18.11530815	0.001390541	4.80E-05	0.004143186
UP_SEQ_FEATURE	domain:Sushi 9	7	0.680272109	2.89E-06	13.83655172	0.007319333	1.63E-04	0.005114834
UP_SEQ_FEATURE	domain:MARVEL	10	0.971817298	2.97E-06	7.602500947	0.00752058	1.64E-04	0.005255996
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	62	6.02526725	3.02E-06	1.820656976	6.70E-04	1.29E-05	0.003845832
INTERPRO	IPR015917:Peptidase C14, caspase precursor p45, core	8	0.777453839	3.13E-06	10.61575862	0.003781693	7.89E-05	0.005067358
GOTERM_CC_DIRECT	GO:0012507~ER to Golgi transport vesicle membrane	14	1.360544218	3.43E-06	4.877198348	0.00164978	5.50E-05	0.004916218
GOTERM_BP_DIRECT	GO:0034142~toll-like receptor 4 signaling pathway	9	0.874635569	3.44E-06	8.541200407	0.012943222	8.51E-05	0.006349013
KEGG_PATHWAY	hsa05160:Hepatitis C	32	3.109815355	3.55E-06	2.437551906	7.88E-04	1.49E-05	0.004526177
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	30	2.915451895	3.66E-06	2.614653186	0.013779977	9.01E-05	0.006762311
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	19	1.846452867	3.79E-06	3.606284616	0.014250488	9.26E-05	0.006994864
UP_KEYWORDS	Antiviral defense	20	1.943634597	3.84E-06	3.492567201	0.0014684	2.94E-05	0.005317563
GOTERM_BP_DIRECT	GO:0043382~positive regulation of memory T cell differentiation	6	0.583090379	3.87E-06	17.08240081	0.014554909	9.40E-05	0.007145385
GOTERM_BP_DIRECT	GO:0045084~positive regulation of interleukin-12 biosynthetic process	6	0.583090379	3.87E-06	17.08240081	0.014554909	9.40E-05	0.007145385
GOTERM_BP_DIRECT	GO:0034105~positive regulation of tissue remodeling	6	0.583090379	3.87E-06	17.08240081	0.014554909	9.40E-05	0.007145385
GOTERM_BP_DIRECT	GO:0097527~necroptotic signaling pathway	6	0.583090379	3.87E-06	17.08240081	0.014554909	9.40E-05	0.007145385
GOTERM_BP_DIRECT	GO:2000318~positive regulation of T-helper 17 type immune response	6	0.583090379	3.87E-06	17.08240081	0.014554909	9.40E-05	0.007145385
BIOCARTA	h_stressPathway:TNF/Stress Related Signaling	16	1.554907677	3.93E-06	3.455149502	8.97E-04	4.27E-05	0.00503736
GOTERM_MF_DIRECT	GO:0019955~cytokine binding	9	0.874635569	3.97E-06	8.47960038	0.003648607	9.62E-05	0.006210507
UP_SEQ_FEATURE	domain:Fibronectin type-III 3	17	1.652089407	4.02E-06	4.000363594	0.010154814	2.17E-04	0.007106372
INTERPRO	IPR011539:Rel homology domain	7	0.680272109	4.15E-06	13.0043043	0.005009632	1.02E-04	0.006716842
INTERPRO	IPR016129:Peptidase C14, ICE, catalytic subunit p20, active site	7	0.680272109	4.15E-06	13.0043043	0.005009632	1.02E-04	0.006716842
GOTERM_BP_DIRECT	GO:0010803~regulation of tumor necrosis factor-mediated signaling pathway	11	1.068999028	4.58E-06	6.263546965	0.017226712	1.11E-04	0.008468444
GOTERM_BP_DIRECT	GO:0038061~NIK/NF-kappaB signaling	16	1.554907677	4.63E-06	4.141188076	0.017401057	1.11E-04	0.008554903
BIOCARTA	h_tall1Pathway:TACI and BCMA stimulation of B cell immune responses.	12	1.166180758	4.87E-06	4.318936877	0.001108941	5.04E-05	0.006230131
SMART	SM00429:IPT	11	1.068999028	4.87E-06	6.097167108	0.00116881	7.80E-05	0.006289482
GOTERM_BP_DIRECT	GO:0070498~interleukin-1-mediated signaling pathway	8	0.777453839	5.47E-06	9.761371894	0.02050803	1.30E-04	0.010098237
INTERPRO	IPR000353:MHC class II, beta chain, N-terminal	8	0.777453839	5.60E-06	9.908041375	0.006750932	1.35E-04	0.009059368
INTERPRO	IPR001309:Peptidase C14, ICE, catalytic subunit p20	8	0.777453839	5.60E-06	9.908041375	0.006750932	1.35E-04	0.009059368
UP_SEQ_FEATURE	region of interest:Alpha-1	8	0.777453839	6.31E-06	9.883251232	0.015895574	3.34E-04	0.011155875
UP_SEQ_FEATURE	region of interest:Alpha-2	8	0.777453839	6.31E-06	9.883251232	0.015895574	3.34E-04	0.011155875
GOTERM_BP_DIRECT	GO:0050715~positive regulation of cytokine secretion	10	0.971817298	6.72E-06	6.832960326	0.025158094	1.59E-04	0.0124172
GOTERM_BP_DIRECT	GO:2000406~positive regulation of T cell migration	7	0.680272109	6.75E-06	11.95768057	0.025267377	1.59E-04	0.012471831
GOTERM_BP_DIRECT	GO:0032725~positive regulation of granulocyte macrophage colony-stimulating factor production	7	0.680272109	6.75E-06	11.95768057	0.025267377	1.59E-04	0.012471831
GOTERM_BP_DIRECT	GO:0010820~positive regulation of T cell chemotaxis	7	0.680272109	6.75E-06	11.95768057	0.025267377	1.59E-04	0.012471831
SMART	SM00115:CASc	8	0.777453839	6.87E-06	9.20970696	0.001646683	1.03E-04	0.00886297
GOTERM_MF_DIRECT	GO:0005161~platelet-derived growth factor receptor binding	8	0.777453839	7.14E-06	9.547401909	0.006548212	1.68E-04	0.011162058
SMART	SM00920:SM00920	6	0.583090379	7.39E-06	14.96577381	0.001772264	1.04E-04	0.009539454
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	27	2.623906706	7.76E-06	2.681539663	0.028980916	1.82E-04	0.014331881
GOTERM_BP_DIRECT	GO:0042493~response to drug	39	3.790087464	7.99E-06	2.19149221	0.029820608	1.86E-04	0.01475345
BIOCARTA	h_tnfr2Pathway:TNFR2 Signaling Pathway	13	1.263362488	8.25E-06	3.899040236	0.001878622	8.18E-05	0.010558108
INTERPRO	IPR013800:STAT transcription factor, all-alpha	6	0.583090379	8.54E-06	15.92363792	0.010278215	2.03E-04	0.013816974
INTERPRO	IPR013801:STAT transcription factor, DNA-binding	6	0.583090379	8.54E-06	15.92363792	0.010278215	2.03E-04	0.013816974
INTERPRO	IPR001217:STAT transcription factor, core	6	0.583090379	8.54E-06	15.92363792	0.010278215	2.03E-04	0.013816974
INTERPRO	IPR015988:STAT transcription factor, coiled coil	6	0.583090379	8.54E-06	15.92363792	0.010278215	2.03E-04	0.013816974
INTERPRO	IPR012345:STAT transcription factor, DNA-binding, subdomain	6	0.583090379	8.54E-06	15.92363792	0.010278215	2.03E-04	0.013816974
INTERPRO	IPR013799:STAT transcription factor, protein interaction	6	0.583090379	8.54E-06	15.92363792	0.010278215	2.03E-04	0.013816974
INTERPRO	IPR000243:Peptidase T1A, proteasome beta-subunit	6	0.583090379	8.54E-06	15.92363792	0.010278215	2.03E-04	0.013816974
BIOCARTA	h_mhcPathway:Antigen Processing and Presentation	10	0.971817298	8.72E-06	4.907882815	0.001985359	8.28E-05	0.011158545
BIOCARTA	h_monocytePathway:Monocyte and its Surface Molecules	10	0.971817298	8.72E-06	4.907882815	0.001985359	8.28E-05	0.011158545
GOTERM_BP_DIRECT	GO:0046677~response to antibiotic	11	1.068999028	8.84E-06	5.87207528	0.032964166	2.04E-04	0.01633491
GOTERM_BP_DIRECT	GO:0033627~cell adhesion mediated by integrin	8	0.777453839	9.73E-06	9.110613767	0.036216918	2.24E-04	0.017976698
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	24	2.332361516	9.94E-06	2.860311813	0.004769686	1.54E-04	0.014234888
GOTERM_CC_DIRECT	GO:0035631~CD40 receptor complex	7	0.680272109	1.01E-05	11.52792337	0.004835111	1.51E-04	0.014430603
GOTERM_BP_DIRECT	GO:0030168~platelet activation	21	2.040816327	1.05E-05	3.119394931	0.038904206	2.39E-04	0.019337239
GOTERM_MF_DIRECT	GO:0030881~beta-2-microglobulin binding	7	0.680272109	1.08E-05	11.39178637	0.009865022	2.48E-04	0.016843505
GOTERM_MF_DIRECT	GO:0001948~glycoprotein binding	15	1.457725948	1.09E-05	4.131087364	0.009976831	2.45E-04	0.017035351
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	12	1.166180758	1.25E-05	5.124720244	0.046112126	2.83E-04	0.023005302
GOTERM_BP_DIRECT	GO:0050727~regulation of inflammatory response	15	1.457725948	1.26E-05	4.067238289	0.046756881	2.85E-04	0.023334756
BIOCARTA	h_relaPathway:Acetylation and Deacetylation of RelA in The Nucleus	12	1.166180758	1.30E-05	4.049003322	0.002965435	1.19E-04	0.016674707
GOTERM_BP_DIRECT	GO:0016032~viral process	38	3.692905734	1.32E-05	2.171007461	0.048756464	2.96E-04	0.024357907
INTERPRO	IPR008253:Marvel	10	0.971817298	1.37E-05	6.406061234	0.016408534	3.18E-04	0.022125504
GOTERM_BP_DIRECT	GO:0002446~neutrophil mediated immunity	7	0.680272109	1.41E-05	10.8706187	0.052102269	3.15E-04	0.026074693
GOTERM_BP_DIRECT	GO:0010759~positive regulation of macrophage chemotaxis	7	0.680272109	1.41E-05	10.8706187	0.052102269	3.15E-04	0.026074693
UP_KEYWORDS	Hemolytic uremic syndrome	6	0.583090379	1.43E-05	15.19266732	0.005454772	1.07E-04	0.019791632
GOTERM_BP_DIRECT	GO:0090026~positive regulation of monocyte chemotaxis	8	0.777453839	1.64E-05	8.541200407	0.060370368	3.64E-04	0.030343184
INTERPRO	IPR016050:Proteasome, beta-type subunit, conserved site	7	0.680272109	1.66E-05	10.83692025	0.019926068	3.80E-04	0.026915978
INTERPRO	IPR020864:Membrane attack complex component/perforin (MACPF) domain	7	0.680272109	1.66E-05	10.83692025	0.019926068	3.80E-04	0.026915978
INTERPRO	IPR002138:Peptidase C14, caspase non-catalytic subunit p10	7	0.680272109	1.66E-05	10.83692025	0.019926068	3.80E-04	0.026915978
INTERPRO	IPR009048:Alpha-macroglobulin, receptor-binding	7	0.680272109	1.66E-05	10.83692025	0.019926068	3.80E-04	0.026915978
INTERPRO	IPR002890:Alpha-2-macroglobulin, N-terminal	7	0.680272109	1.66E-05	10.83692025	0.019926068	3.80E-04	0.026915978
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	31	3.012633625	1.73E-05	2.374683521	0.063343497	3.80E-04	0.031887235
GOTERM_BP_DIRECT	GO:2000352~negative regulation of endothelial cell apoptotic process	10	0.971817298	1.94E-05	6.100857434	0.070828503	4.25E-04	0.035796162
GOTERM_BP_DIRECT	GO:0032715~negative regulation of interleukin-6 production	10	0.971817298	1.94E-05	6.100857434	0.070828503	4.25E-04	0.035796162
GOTERM_BP_DIRECT	GO:0050690~regulation of defense response to virus by virus	10	0.971817298	1.94E-05	6.100857434	0.070828503	4.25E-04	0.035796162
BIOCARTA	h_lymPathway:Adhesion and Diapedesis of Lymphocytes	11	1.068999028	2.00E-05	4.241813004	0.004541818	1.75E-04	0.025557809
GOTERM_MF_DIRECT	GO:0031994~insulin-like growth factor I binding	7	0.680272109	2.05E-05	10.44247084	0.018712871	4.50E-04	0.032091216
GOTERM_MF_DIRECT	GO:0000975~regulatory region DNA binding	7	0.680272109	2.05E-05	10.44247084	0.018712871	4.50E-04	0.032091216
UP_KEYWORDS	Alternative splicing	587	57.04567541	2.14E-05	1.123150495	0.008177949	1.58E-04	0.029711359
INTERPRO	IPR006080:Beta defensin/Neutrophil defensin	6	0.583090379	2.18E-05	13.93318318	0.025981537	4.87E-04	0.035202704
SMART	SM00921:SM00921	8	0.777453839	2.29E-05	7.981746032	0.005475254	3.05E-04	0.029523141
GOTERM_BP_DIRECT	GO:0016477~cell migration	26	2.526724976	2.29E-05	2.582223379	0.083326432	5.00E-04	0.042393389
SMART	SM00964:SM00964	6	0.583090379	2.44E-05	12.82780612	0.005849061	3.09E-04	0.031544355
GOTERM_MF_DIRECT	GO:0001848~complement binding	6	0.583090379	2.60E-05	13.42603393	0.023662344	5.57E-04	0.040679814
GOTERM_BP_DIRECT	GO:0045429~positive regulation of nitric oxide biosynthetic process	12	1.166180758	2.64E-05	4.767181622	0.095106509	5.71E-04	0.048694148
GOTERM_BP_DIRECT	GO:0032722~positive regulation of chemokine production	8	0.777453839	2.65E-05	8.038776854	0.095631547	5.71E-04	0.04897687
GOTERM_BP_DIRECT	GO:1901741~positive regulation of myoblast fusion	8	0.777453839	2.65E-05	8.038776854	0.095631547	5.71E-04	0.04897687
GOTERM_BP_DIRECT	GO:0030224~monocyte differentiation	8	0.777453839	2.65E-05	8.038776854	0.095631547	5.71E-04	0.04897687
GOTERM_BP_DIRECT	GO:0032695~negative regulation of interleukin-12 production	7	0.680272109	2.68E-05	9.964733808	0.0967111	5.74E-04	0.049558699
GOTERM_BP_DIRECT	GO:0002687~positive regulation of leukocyte migration	7	0.680272109	2.68E-05	9.964733808	0.0967111	5.74E-04	0.049558699
GOTERM_BP_DIRECT	GO:0045078~positive regulation of interferon-gamma biosynthetic process	7	0.680272109	2.68E-05	9.964733808	0.0967111	5.74E-04	0.049558699
INTERPRO	IPR008160:Collagen triple helix repeat	16	1.554907677	2.75E-05	3.624893186	0.032757823	6.05E-04	0.044536326
UP_KEYWORDS	Chronic granulomatous disease	5	0.485908649	2.83E-05	20.25688976	0.010763829	2.04E-04	0.039155285
INTERPRO	IPR011626:A-macroglobulin complement component	7	0.680272109	2.95E-05	10.003311	0.035047489	6.37E-04	0.047704689
INTERPRO	IPR001599:Alpha-2-macroglobulin	7	0.680272109	2.95E-05	10.003311	0.035047489	6.37E-04	0.047704689
INTERPRO	IPR011625:Alpha-2-macroglobulin, N-terminal 2	7	0.680272109	2.95E-05	10.003311	0.035047489	6.37E-04	0.047704689
GOTERM_BP_DIRECT	GO:0030316~osteoclast differentiation	9	0.874635569	2.96E-05	6.68441771	0.106187796	6.30E-04	0.054696103
UP_KEYWORDS	Thioester bond	6	0.583090379	3.08E-05	13.50459318	0.011735902	2.19E-04	0.042711561
UP_SEQ_FEATURE	zinc finger region:TRAF-type 2	5	0.485908649	3.11E-05	19.76650246	0.075978697	0.001611357	0.055004129
