	wgEncodeBroadHistoneGm12878H3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneGm12878H3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneGm12878H3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k4me3StdSig.bigWig.tab
chr1:115263265-115263415	0.000	0.870	4.992	4.785	1.605	1.820	4.228	7.869	0.000	2.367	1.776	1.225	2.371	2.468	0.560	3.222	4.963	2.785	1.320	3.389	2.597
chr1:11862320-11862510	4.405	9.067	20.555	3.584	11.898	2.735	6.660	10.543	15.562	13.050	27.672	56.435	96.495	10.734	127.527	6.549	10.114	7.900	10.735	5.998	69.695
chr1:11862565-11863075	6.161	8.990	23.748	8.016	14.559	3.431	12.513	6.504	60.815	16.623	28.592	82.228	88.493	9.483	114.296	6.098	14.398	16.247	18.353	6.523	87.658
chr1:11863105-11863495	13.868	10.646	32.173	13.212	23.806	16.877	10.831	13.358	94.132	27.185	34.696	69.593	45.987	7.238	107.724	11.441	23.123	26.664	31.094	6.012	128.319
chr1:11863525-11863930	14.084	15.148	30.699	8.926	14.965	14.004	11.266	9.270	40.822	17.446	29.755	31.401	29.130	17.818	46.635	14.793	18.803	20.552	16.196	6.108	32.676
chr1:11864545-11864810	12.067	13.387	20.768	2.136	16.213	10.814	16.181	25.423	9.758	19.279	65.142	8.287	113.616	24.025	104.297	19.767	24.392	11.245	35.847	36.320	16.961
chr1:11864865-11865315	18.099	6.164	38.234	9.927	6.387	20.996	24.138	13.197	28.724	48.208	35.948	46.622	194.453	11.175	116.416	49.590	16.065	47.360	49.136	13.038	34.156
chr1:11865465-11866315	37.285	1.693	33.136	25.936	1.894	35.800	41.474	2.481	144.739	78.563	8.818	53.769	129.839	2.293	72.102	67.915	2.223	40.657	62.375	3.182	51.234
chr1:11866380-11866595	28.198	0.867	32.770	20.902	3.109	36.240	27.278	0.843	189.367	54.754	6.523	115.068	49.947	3.309	73.956	77.987	2.924	66.395	47.717	2.700	87.600
chr1:11866680-11866955	39.228	4.004	84.734	13.612	12.870	47.372	23.051	10.548	76.068	54.314	27.618	188.853	119.050	22.825	94.340	129.974	15.105	111.325	39.555	9.503	111.721
chr1:169553842-169554355	2.887	4.841	3.749	4.072	1.438	1.655	0.830	4.436	2.897	1.809	1.766	0.961	2.033	2.658	1.623	5.304	28.570	6.561	0.000	3.071	1.406
chr1:169554540-169554690	0.000	2.025	1.715	1.687	0.000	0.000	0.314	1.350	0.120	0.000	0.480	0.000	0.000	1.000	2.111	0.000	3.337	1.156	0.000	1.967	0.000
chr1:169555500-169555895	1.889	8.664	12.052	3.853	10.456	4.180	1.837	5.831	4.316	3.180	8.832	8.980	1.525	6.166	10.159	0.841	8.369	5.992	1.028	1.869	1.709
chr1:169555905-169556055	0.859	22.124	9.377	6.339	5.439	1.405	0.982	4.147	5.423	1.019	16.364	4.033	4.764	7.751	7.745	3.399	8.815	1.053	1.707	4.847	5.217
chr1:169557445-169557730	0.000	2.699	4.377	1.608	1.332	0.000	0.855	0.000	0.000	1.729	0.000	1.362	3.214	2.329	1.000	0.000	0.838	0.000	0.000	1.443	0.979
chr1:169558400-169558630	3.365	8.660	1.930	3.445	1.615	0.000	0.000	0.859	1.459	1.855	2.649	1.591	1.815	0.904	0.333	1.000	2.743	2.822	0.000	1.000	2.368
chr1:186649080-186650130	2.242	4.280	13.176	7.518	4.407	32.906	2.800	3.892	7.645	151.926	5.156	163.503	1.022	1.631	3.578	84.546	1.905	72.479	46.262	3.056	89.808
chr1:186650145-186650267	0.000	5.051	3.875	2.934	4.695	17.442	0.000	0.000	1.111	236.824	2.455	302.687	1.105	1.098	1.011	197.002	2.327	132.746	50.084	2.579	92.797
chr1:186650960-186651235	0.000	0.822	1.528	0.947	1.673	0.775	0.000	0.000	1.220	30.479	15.183	42.132	0.000	0.796	0.835	57.140	3.999	30.238	3.048	3.415	11.596
chr1:186651879-186652170	0.958	3.818	0.861	0.522	0.956	0.543	0.000	0.200	0.935	7.590	14.921	12.456	2.377	0.000	3.617	14.774	3.627	15.257	2.058	5.129	3.165
chr1:201080005-201080087	0.556	1.114	1.000	2.400	1.817	0.703	5.737	6.900	9.971	0.000	0.902	0.000	0.640	2.017	1.000	0.120	1.293	0.000	0.912	2.965	2.000
chr1:201080721-201080975	0.000	1.149	0.844	3.465	2.575	0.837	22.624	16.747	11.915	0.000	0.903	0.867	0.924	0.080	0.000	0.845	0.960	1.248	0.853	0.889	1.542
chr1:201081185-201081201	8.000	1.062	0.677	1.042	3.000	1.000	3.000	12.383	7.850	0.720	0.000	0.475	0.000	3.395	0.613	1.000	0.000	1.000	0.000	0.000	2.000
chr1:201083097-201083275	1.902	5.700	5.989	3.105	9.421	9.593	0.914	7.191	8.017	1.412	6.191	5.427	0.320	4.795	1.922	2.640	11.562	5.061	2.204	5.292	6.860
chr1:201083320-201083575	0.900	8.159	15.482	2.125	3.819	17.271	2.494	5.801	66.492	1.251	11.569	16.424	0.877	6.311	0.889	0.964	7.704	25.668	1.329	1.894	22.376
chr1:201083585-201083694	0.000	6.017	17.461	4.018	7.227	34.825	5.695	9.540	178.735	0.760	12.627	35.584	0.972	3.807	0.862	2.000	7.129	48.236	2.272	1.821	59.652
chr1:201083695-201084355	0.987	2.165	6.277	4.551	5.022	16.762	2.465	3.448	52.080	1.000	6.932	7.937	0.925	1.487	2.031	1.137	3.958	13.054	2.643	5.481	16.169
chr1:201084565-201084671	0.000	1.211	2.951	4.182	8.028	1.660	0.962	0.000	2.823	0.000	1.053	1.000	1.000	2.000	0.000	0.968	1.245	1.602	1.000	0.000	2.000
chr1:60392005-60392255	0.975	9.327	21.560	3.846	7.875	22.314	0.367	12.714	33.778	1.190	14.114	36.020	2.750	6.726	1.388	3.882	6.290	58.430	0.889	7.294	21.154
chr1:60392340-60392685	2.633	2.901	11.125	2.956	4.664	13.916	2.146	6.027	26.802	1.077	7.492	18.391	0.000	2.704	1.604	2.401	3.499	28.794	1.907	3.358	25.905
chr1:98384620-98384830	8.442	6.262	20.734	2.948	2.513	0.969	5.390	7.753	6.241	2.454	9.306	4.366	0.838	0.804	4.312	2.843	11.387	3.274	9.026	8.334	28.007
chr1:98385095-98385475	13.416	2.616	33.462	1.096	3.487	1.425	18.935	2.871	20.316	4.191	10.651	38.700	1.446	2.244	2.795	4.624	6.961	27.779	16.295	2.997	54.075
chr1:98385506-98385590	21.210	3.928	37.004	0.900	4.271	2.357	24.151	0.550	29.956	16.369	10.770	51.057	1.762	4.619	2.328	10.866	6.269	52.859	20.979	4.607	60.491
chr1:98385680-98385776	10.242	1.968	42.207	1.004	6.467	1.062	18.527	2.794	27.169	9.964	22.185	78.906	2.000	0.802	4.518	8.387	6.677	47.593	22.153	2.932	80.404
chr1:98385778-98385830	10.435	3.001	36.565	1.746	5.352	0.981	21.571	2.219	27.146	10.202	18.575	97.806	2.000	1.000	10.420	7.945	7.664	44.164	22.319	3.665	72.096
chr1:98385880-98386395	32.861	3.093	57.381	4.225	8.576	30.003	40.811	1.925	216.030	44.583	7.877	171.722	4.375	5.385	26.619	23.448	3.794	89.619	38.604	2.734	132.176
chr1:98386440-98387175	22.274	1.586	36.677	8.792	1.607	31.027	22.068	3.954	91.446	38.534	9.634	90.625	3.469	4.531	16.453	14.764	4.151	56.458	22.776	2.968	64.287
chr20:48183855-48183935	0.000	0.000	0.000	4.040	7.635	13.172	0.000	3.845	2.120	1.460	26.040	10.607	0.000	3.195	2.915	0.000	0.800	2.000	8.557	5.845	9.190
chr20:48183985-48184135	0.000	1.812	0.000	3.344	6.984	28.957	1.957	2.743	3.812	4.565	18.387	8.288	0.000	1.053	1.232	0.000	1.264	1.337	6.295	2.505	19.513
chr20:48184145-48184315	0.000	3.549	0.879	12.969	13.925	32.551	0.820	4.515	7.445	4.254	36.669	21.261	0.000	0.836	2.136	0.000	5.129	2.389	11.391	5.567	23.273
chr20:48184425-48184835	18.017	1.080	3.398	11.551	3.171	15.207	2.260	5.657	11.600	3.116	4.388	16.576	0.926	0.816	1.012	0.000	2.470	2.005	1.850	2.012	8.688
chr20:48184885-48185795	15.833	2.220	1.841	31.542	14.021	10.599	1.874	2.983	2.411	1.600	4.315	2.316	1.091	1.717	0.889	2.816	1.048	1.764	2.154	2.518	2.855
chr20:48186235-48186649	0.880	1.374	1.165	4.628	11.426	1.522	1.863	4.089	1.251	1.826	1.995	1.407	1.856	3.845	1.645	0.925	1.714	1.266	2.078	3.664	4.302
chr20:48187452-48187682	0.000	1.153	0.976	3.979	7.622	1.365	1.091	9.316	1.850	1.354	3.577	0.885	1.698	0.000	1.010	0.250	1.399	0.952	2.578	2.813	1.665
chr21:46952749-46953025	4.851	2.054	2.264	1.536	2.151	1.163	3.204	0.970	1.636	10.982	32.145	2.833	1.857	0.922	1.726	0.732	0.560	2.740	0.440	0.954	1.721
chr21:46955625-46955901	0.947	2.091	1.738	1.921	2.268	0.914	0.920	0.800	2.805	3.529	6.759	0.000	2.525	1.644	2.051	1.223	4.583	4.851	0.968	0.840	1.852
chr21:46956805-46956987	0.839	1.577	0.972	3.101	0.867	2.547	0.944	2.107	2.659	0.832	3.671	0.000	1.893	0.782	0.700	1.793	0.000	1.129	0.200	0.920	1.828
chr21:46960731-46960915	2.191	7.370	15.886	3.863	5.110	1.222	0.723	1.488	2.347	4.726	6.150	5.980	5.417	15.406	34.251	1.118	9.029	3.868	1.704	1.087	2.633
chr21:46960925-46960991	3.052	3.018	18.428	1.818	5.369	1.000	1.606	1.697	6.098	2.278	13.956	11.434	13.215	11.449	53.846	2.000	9.425	5.505	1.000	1.000	4.955
chr21:46961343-46961915	20.084	5.330	43.135	5.173	11.845	17.565	7.478	9.674	57.259	17.683	20.265	37.036	27.549	10.483	73.078	7.777	11.327	33.812	7.946	9.905	24.051
chr21:46962260-46962739	5.189	0.480	10.531	2.429	1.071	6.307	4.638	0.939	26.532	6.873	1.804	9.253	8.116	2.205	10.324	2.305	0.925	7.047	3.701	1.063	10.744
chr21:46962905-46963232	9.212	6.741	17.059	4.823	12.170	3.415	0.594	1.362	3.553	4.577	6.451	4.236	2.457	5.464	5.605	1.749	3.084	5.223	0.949	1.178	1.957
chr21:46963305-46963724	7.387	15.491	13.776	2.780	9.891	2.823	0.979	2.789	2.633	1.877	6.526	1.418	1.988	5.536	4.914	0.925	1.071	3.163	1.040	1.195	1.489
chr21:46963908-46963935	4.351	11.378	14.455	2.970	5.268	0.000	0.000	1.000	1.000	0.000	2.046	1.000	0.000	2.000	1.403	0.941	0.000	0.000	0.446	4.000	0.748
chr21:46963965-46964278	5.647	13.534	12.521	3.564	7.217	0.866	2.800	0.866	1.735	0.769	2.512	1.006	0.000	4.599	0.714	0.000	1.751	2.946	0.947	2.318	1.891
chr22:19925262-19925435	0.000	0.961	1.665	5.178	3.393	2.249	1.495	0.000	0.000	5.178	15.393	4.306	4.938	9.590	8.860	0.000	0.800	1.865	1.382	0.813	4.408
chr22:19925720-19925950	0.000	1.204	1.291	1.750	1.131	0.000	1.715	1.194	1.389	5.157	14.104	1.239	1.183	4.291	2.865	1.657	1.517	3.726	1.383	3.800	0.977
chr22:19927925-19927970	0.000	6.707	6.769	1.889	1.000	1.000	4.693	2.489	5.907	0.000	12.444	10.133	22.311	46.280	51.689	3.000	3.582	1.000	0.600	2.009	9.178
chr22:19928200-19930950	37.550	6.978	42.384	5.144	7.832	8.038	96.227	9.616	120.750	79.909	30.529	71.680	271.967	40.666	211.412	46.824	11.387	54.252	55.633	7.650	69.612
chr22:19930980-19931130	12.869	8.361	13.757	1.496	3.644	0.992	92.297	14.655	11.872	43.333	24.632	6.515	55.229	32.108	42.951	22.499	15.085	13.169	35.200	12.428	8.620
chr22:19931205-19931262	6.625	3.246	9.909	2.088	5.853	1.860	42.735	13.825	6.274	39.337	33.016	7.930	30.698	30.329	23.495	14.961	19.288	7.045	33.864	7.253	10.658
chr22:19935265-19935535	5.744	7.323	8.827	2.396	3.170	2.303	14.252	13.051	7.586	52.884	20.162	5.311	229.174	55.576	51.188	8.651	10.853	7.744	15.421	7.794	4.607
chr22:19935800-19935864	3.462	5.219	3.752	0.984	0.891	1.688	8.168	7.335	0.800	70.472	37.615	3.625	15.455	28.723	5.376	7.999	8.815	2.555	5.976	9.666	3.079
chr22:19936927-19937435	0.902	2.058	2.942	1.425	2.902	1.371	5.728	12.886	2.182	67.251	33.262	11.157	3.071	11.088	7.145	5.866	17.256	4.982	4.771	8.633	4.738
chr22:19937905-19938115	0.000	4.241	2.676	0.825	2.924	1.848	3.847	3.848	1.477	34.988	42.571	2.877	8.700	7.917	1.429	1.776	0.882	2.952	3.048	7.613	1.676
chr22:19938345-19938461	0.960	1.327	2.974	3.319	3.543	0.784	6.280	1.474	1.293	24.965	18.837	5.319	15.678	3.993	2.800	1.483	0.707	1.698	1.733	4.013	3.810
chr22:19938920-19939135	2.728	1.563	1.347	3.476	3.126	1.181	1.583	2.888	0.916	6.409	13.396	0.976	9.515	8.752	2.346	1.609	1.256	1.497	3.236	2.431	2.623
chr22:19939240-19939390	0.000	1.788	1.800	3.420	1.937	1.437	4.316	1.768	2.379	8.452	7.976	1.193	8.348	8.819	5.289	1.445	0.904	0.320	2.800	5.439	3.317
chr22:19939405-19939555	0.838	1.096	0.800	7.125	2.733	0.000	3.572	3.233	1.972	6.241	5.767	1.620	3.533	10.708	2.392	0.511	1.140	0.000	1.331	3.313	2.092
chr22:19946625-19946775	1.087	1.860	1.627	10.180	13.620	25.747	1.907	3.440	1.360	12.033	23.213	22.013	35.093	66.307	72.907	6.807	14.080	12.893	4.840	10.213	9.813
chr22:19946800-19947135	0.740	1.944	1.305	2.970	3.094	7.239	0.782	5.454	0.000	5.826	11.524	11.218	13.042	22.762	34.185	4.517	6.860	8.777	1.414	3.686	5.489
chr22:19947200-19947535	0.925	2.232	0.884	15.743	29.155	7.502	0.966	5.478	0.925	10.732	12.641	2.331	34.890	75.382	44.635	17.964	11.361	4.167	2.910	3.773	4.193
chr22:19947560-19947750	1.870	4.713	2.001	4.711	13.517	2.242	0.000	1.376	0.000	4.358	7.805	2.557	9.281	86.490	21.185	14.503	13.179	2.993	0.855	1.242	3.121
chr22:19947780-19948035	2.153	5.026	0.999	7.918	10.736	1.871	1.363	2.692	0.000	2.442	7.531	1.838	17.833	71.585	12.292	5.911	7.914	1.438	0.894	1.975	2.296
chr22:19948905-19949055	1.673	2.255	1.767	5.504	7.227	2.253	1.448	3.649	0.931	1.841	1.620	0.000	7.463	20.181	6.436	3.164	0.927	0.899	0.790	2.652	1.587
chr22:19949880-19950155	0.467	2.470	0.923	3.097	7.260	1.942	2.447	7.571	2.169	3.465	13.175	1.464	6.127	20.908	7.002	4.681	13.538	5.631	2.204	9.159	4.793
chr22:19950180-19950475	2.007	2.324	0.705	14.617	30.015	6.651	5.844	23.418	3.227	14.361	50.501	2.003	6.447	19.554	5.803	38.357	38.357	23.902	6.360	10.569	3.389
chr22:19950545-19950855	1.476	1.180	0.838	9.993	15.163	8.364	1.608	7.764	3.180	14.268	26.245	3.538	3.040	4.805	3.884	14.519	11.281	8.894	2.100	6.552	1.145
chr22:19950985-19951355	1.457	1.491	1.190	5.488	20.162	3.270	1.165	3.359	0.932	15.973	19.208	3.014	5.970	4.277	3.097	38.072	29.893	13.966	1.527	3.514	3.468
chr22:19951420-19951715	0.925	1.154	1.483	4.379	7.339	1.075	1.181	1.386	3.210	5.300	4.161	0.995	5.364	3.849	3.776	10.751	29.085	6.604	1.334	0.892	1.393
chr22:23518551-23518770	5.854	13.131	8.370	0.960	0.974	1.747	0.986	0.906	1.029	0.882	1.315	1.831	10.052	30.827	13.126	0.000	0.889	2.325	0.954	1.338	1.607
chr22:23518905-23519170	10.936	23.503	5.177	6.169	1.974	2.470	3.038	1.347	1.718	0.754	1.821	1.674	7.829	63.340	17.381	1.463	1.331	2.808	0.925	1.162	1.665
chr22:23519399-23519450	14.595	31.773	7.536	5.860	3.000	0.000	0.000	0.500	2.000	1.005	0.115	0.600	36.554	195.607	31.151	0.160	5.549	1.560	3.096	2.000	5.142
chr22:23519480-23519675	16.911	31.411	9.282	3.495	1.201	0.000	1.595	0.000	1.935	2.157	1.840	2.427	28.112	161.095	27.244	1.908	3.992	3.672	2.482	1.549	2.617
chr22:23520660-23521106	1.576	15.606	5.259	4.249	10.002	1.970	0.000	7.676	1.634	14.976	28.408	3.487	14.988	74.164	21.775	4.237	11.595	2.300	2.775	8.298	2.082
chr22:23521185-23521435	5.301	9.526	4.266	5.558	12.102	4.806	3.985	9.729	2.127	16.006	40.682	3.492	27.079	93.831	23.786	3.202	7.704	3.636	2.543	7.542	2.395
chr22:23521520-23522055	3.109	17.978	6.807	3.451	10.785	2.400	1.315	5.928	1.951	17.981	40.779	6.975	28.644	142.529	52.066	5.378	12.758	4.206	1.845	7.661	4.289
chr22:23522344-23522535	4.077	12.592	13.690	5.248	7.384	12.836	3.320	13.233	38.910	39.072	31.923	34.742	150.123	97.153	265.249	9.916	17.216	24.041	7.267	6.757	33.031
chr22:23522580-23523115	3.331	1.160	7.712	2.793	1.520	5.314	1.100	1.812	30.377	16.800	3.877	15.129	51.122	5.133	60.080	3.040	1.465	4.367	2.071	0.520	14.707
chr22:23523120-23523438	5.098	2.094	27.718	12.529	2.934	41.145	0.900	5.395	82.022	43.443	2.071	64.541	129.356	34.193	230.787	13.027	0.927	32.663	6.346	1.444	55.926
chr22:23524499-23524551	5.419	7.648	77.195	3.640	16.736	35.544	1.850	8.998	48.921	44.320	11.862	211.308	42.408	219.788	143.959	19.789	19.204	71.125	1.989	2.079	33.830
chr22:24383879-24384115	19.257	7.991	48.116	17.076	1.682	26.407	0.000	0.000	0.000	14.470	4.752	20.088	64.726	5.399	59.580	10.148	2.114	14.336	9.557	2.161	54.312
chr22:24384200-24384490	15.990	4.004	36.816	5.944	2.938	11.939	0.000	0.000	0.000	10.257	6.884	12.731	18.564	3.901	28.314	3.697	1.417	4.968	8.619	1.814	21.071
chr22:24384580-24384915	11.731	18.601	43.311	6.769	12.765	5.890	0.000	0.000	0.000	9.816	13.982	3.390	37.532	28.219	29.041	2.808	4.229	2.451	9.251	10.498	11.905
chr22:42525357-42525699	0.000	0.735	0.000	1.884	2.092	0.914	1.748	1.257	0.922	1.235	1.746	0.927	0.000	2.406	0.946	0.000	0.881	0.860	0.948	1.324	0.890
chr22:42527653-42527795	0.944	1.303	0.895	1.238	2.565	0.000	0.920	0.280	3.310	0.000	2.065	0.960	2.538	1.000	1.000	0.000	1.849	0.950	0.763	1.000	1.314
chr22:42528485-42528769	0.964	1.830	1.610	1.259	0.974	1.052	1.475	0.875	0.956	0.795	0.925	1.089	0.979	0.000	0.887	0.000	2.218	1.464	0.000	0.000	1.530
chr22:42530185-42530412	2.048	3.479	1.517	2.727	0.919	1.661	9.598	12.829	13.835	0.000	0.600	1.168	3.019	5.097	2.088	6.372	6.421	2.351	2.412	4.939	6.153
chr2:234665243-234665735	0.000	1.567	1.170	0.888	1.299	0.914	1.358	1.357	0.400	0.809	0.080	1.269	1.759	0.916	1.740	1.152	1.863	2.045	0.000	0.720	0.889
chr2:234667540-234667730	0.667	3.323	2.373	3.167	2.674	1.184	0.962	0.890	0.974	0.000	5.641	0.990	0.000	0.000	1.839	0.879	1.758	1.316	0.000	0.000	0.000
chr2:234668691-234668955	0.726	0.971	2.121	0.988	0.000	1.533	1.933	1.534	0.872	0.000	0.000	0.000	1.593	1.800	1.770	2.519	6.857	0.868	0.746	0.812	1.140
chr2:234670060-234670375	0.895	1.805	2.880	1.698	1.824	1.194	0.822	0.000	0.930	0.000	0.080	1.134	0.000	0.000	0.836	8.522	26.601	16.364	1.124	2.540	2.310
chr2:29446665-29447255	0.333	2.123	1.138	4.147	3.602	1.177	3.261	12.337	2.129	2.600	3.923	2.107	2.015	0.884	1.666	2.869	17.122	1.356	0.360	10.922	2.964
chr2:29447325-29447621	0.840	1.789	1.085	2.747	1.956	1.417	0.867	6.347	1.804	0.680	3.903	1.334	3.250	0.000	0.500	1.326	6.875	1.791	0.979	10.111	2.923
chr2:29448725-29448766	0.000	1.000	0.000	2.000	3.220	1.000	0.000	1.000	1.359	0.000	0.000	2.000	0.000	0.000	7.000	0.000	2.372	1.000	0.000	0.320	2.000
chr2:29448767-29448975	0.000	2.144	0.000	1.495	7.447	0.966	1.933	0.907	1.188	1.312	0.980	1.944	0.000	1.705	3.177	0.000	1.621	0.842	1.811	1.897	2.457
chr2:29449425-29449675	0.000	2.448	1.852	0.889	1.640	0.770	2.376	2.324	0.897	0.000	1.136	0.000	0.900	1.647	0.816	0.000	1.080	2.416	0.900	1.531	0.889
chr2:30142920-30142995	0.000	0.000	1.000	1.000	16.715	7.613	1.408	3.733	6.195	0.000	1.600	0.886	0.667	0.956	1.000	1.000	2.864	3.896	0.691	3.608	4.067
chr2:30143000-30143970	0.925	2.830	1.766	3.242	12.934	15.869	1.382	7.942	10.338	0.000	3.306	2.408	0.880	1.462	0.850	1.861	4.901	6.709	1.091	4.842	5.557
chr2:30144020-30144315	0.923	3.155	0.881	1.618	13.344	25.698	2.997	3.121	11.875	0.000	2.268	3.585	0.000	1.070	2.884	0.948	8.582	5.693	0.928	5.967	9.401
chr2:30144425-30144775	1.792	0.888	2.867	1.200	0.970	2.723	0.860	1.893	4.943	0.000	1.520	1.803	1.256	1.685	2.753	1.580	3.089	2.180	0.620	2.623	3.997
chr2:30145365-30145735	0.000	0.000	1.243	5.130	5.007	0.963	1.839	1.464	1.304	1.548	1.166	1.548	0.620	3.536	2.838	0.822	3.924	1.136	0.992	1.987	2.994
chr2:30146060-30146290	0.000	1.172	0.974	1.459	0.864	0.887	0.886	1.131	0.000	2.740	0.677	0.000	0.879	0.000	2.232	0.826	2.468	1.479	0.200	0.973	2.112
chr3:119495465-119495615	0.886	0.948	2.000	2.680	2.020	1.445	4.264	1.547	0.662	0.941	0.000	2.272	0.000	1.646	0.000	0.000	0.968	0.886	0.500	1.000	0.000
chr3:119495740-119495890	0.425	1.788	0.740	1.767	1.900	0.000	1.000	0.000	1.060	0.677	0.000	1.347	1.353	0.692	0.000	0.918	1.527	1.867	2.307	0.833	0.809
chr3:119500476-119500710	1.188	3.745	0.905	4.009	2.075	2.115	3.765	3.160	1.491	1.435	2.125	1.103	2.687	4.269	0.960	0.000	1.758	0.000	0.889	1.459	3.854
chr3:119500820-119500970	0.790	0.840	2.035	1.253	3.829	1.607	1.080	1.616	1.381	3.376	0.400	2.264	2.261	6.828	0.000	1.422	0.000	0.000	1.909	0.933	0.997
chr3:119502126-119502434	1.187	1.186	1.283	1.124	0.890	0.919	2.519	6.510	2.157	1.940	1.446	2.321	2.201	7.741	2.890	0.837	0.000	1.156	0.000	1.580	1.778
chr3:119502860-119503030	0.931	0.929	2.811	1.966	4.127	0.956	0.871	1.694	1.053	2.711	1.703	1.213	1.029	8.094	2.954	0.000	2.392	1.291	0.969	1.000	2.256
chr3:151101784-151101795	5.920	4.000	21.040	1.520	2.160	1.600	0.160	2.520	0.000	1.000	0.400	2.440	0.000	0.000	1.000	0.000	6.560	6.520	2.000	6.680	11.760
chr3:151101800-151102075	6.073	8.225	19.989	0.000	1.055	1.428	0.905	2.018	0.000	0.840	0.925	1.980	0.840	3.298	0.747	1.313	8.047	5.229	3.065	6.825	13.098
chr3:151102500-151102910	11.972	7.498	16.383	3.498	2.378	1.394	0.970	1.263	0.640	1.748	1.561	0.000	0.884	1.795	2.030	1.227	1.708	0.000	1.593	8.272	7.564
chr3:151103925-151104150	2.071	2.858	0.000	6.351	1.680	0.832	0.000	0.840	0.000	0.000	1.610	1.611	0.000	1.329	2.071	2.222	0.910	0.951	1.297	6.151	2.373
chr3:152552202-152552290	3.911	9.259	21.971	1.083	3.034	13.304	0.785	2.216	1.720	1.385	20.277	10.543	32.726	7.225	43.128	11.339	9.135	21.043	0.000	2.590	4.944
chr3:152552325-152553415	13.589	4.885	42.648	14.530	7.279	30.500	1.852	5.505	44.119	5.224	10.615	68.599	78.678	4.452	56.922	18.637	3.081	66.796	2.815	3.695	57.807
chr3:152553420-152554155	2.673	5.175	22.689	7.354	7.587	35.838	1.674	3.389	7.832	3.110	14.899	34.392	31.218	14.309	67.438	3.063	12.949	43.374	2.528	4.987	37.444
chr3:38690024-38690235	0.160	1.495	3.057	3.141	19.502	8.802	11.121	9.482	160.144	0.848	14.470	14.377	1.880	2.431	1.002	0.923	1.607	2.371	0.000	2.673	4.134
chr3:38690265-38690515	0.897	2.757	4.693	6.330	7.906	27.924	13.546	6.883	204.435	7.173	26.203	30.834	1.962	3.615	2.320	0.000	2.201	1.894	1.122	5.802	4.442
chr3:38690625-38691015	0.000	2.997	5.245	6.133	5.194	30.401	13.783	1.877	183.451	17.665	7.760	63.041	1.890	2.513	13.551	0.925	2.572	8.921	2.608	7.980	17.133
chr3:38691125-38691450	2.123	1.932	9.505	2.524	9.960	11.871	4.542	4.560	60.606	7.603	8.732	15.575	7.391	3.933	14.200	0.000	4.058	6.446	2.345	3.792	10.357
chr3:38691460-38691950	0.913	4.539	9.862	4.433	17.730	8.736	6.739	13.510	45.400	8.459	29.063	20.667	15.188	33.380	33.543	1.850	12.861	11.792	2.025	7.949	13.600
chr3:38691965-38692202	0.000	1.547	1.345	1.374	5.574	2.000	2.210	3.837	2.907	1.947	6.421	2.300	4.046	5.007	4.326	0.000	2.829	3.454	1.349	1.827	1.835
chr3:38692507-38692715	1.280	3.491	2.567	5.162	13.937	5.820	0.000	7.273	3.022	0.900	10.444	7.466	1.736	5.333	8.851	1.268	4.335	2.173	1.476	5.947	4.521
chr3:38692720-38692995	0.900	3.189	3.392	4.199	6.950	10.965	0.556	4.303	4.106	0.878	8.399	6.928	2.159	4.958	9.183	1.430	3.001	2.200	0.673	3.844	6.498
chr4:100242516-100242670	0.893	1.294	0.890	5.200	7.043	1.326	3.370	0.952	0.000	0.000	0.983	1.000	0.000	0.000	0.480	0.900	0.000	0.000	1.766	10.900	11.149
chr4:100244900-100245150	0.900	1.200	1.764	2.644	1.880	0.867	0.000	0.929	0.000	1.392	0.840	1.508	0.890	0.925	1.400	1.507	1.370	1.216	4.276	3.568	4.496
chr4:100246240-100246470	0.869	0.000	1.104	3.312	1.235	0.000	1.611	1.245	0.000	0.919	0.911	1.020	0.938	0.000	0.975	1.344	1.096	0.747	1.930	6.277	2.065
chr4:55520965-55521228	0.944	0.981	1.435	1.284	0.961	0.948	1.217	1.304	0.000	0.000	2.202	1.538	0.865	6.930	2.009	0.143	0.792	1.674	1.316	0.898	0.875
